e, e_dot, e_int, stamp, 
0.0021942132998598596, 2.5228982922972005e-05, 0.0004468560341283049, 35504000000, 
0.002004674609817403, -0.0010576933242144777, 0.0004347247011172672, 35606000000, 
0.0020710003963044232, -0.0004107096785181212, 0.00041799255373211236, 35708000000, 
0.001924941694697646, -0.0002657763837325226, 0.00040004111338796483, 35810000000, 
0.0017430796271578897, -0.0010930692304884453, 0.0003826014478773306, 35912000000, 
0.0017679412083827784, -0.0005233349543828925, 0.0003623975020158876, 35980000000, 
0.0016404536355674182, -0.0003420866386349049, 0.00034343163140720576, 36082000000, 
0.0014886357230382286, -0.0009310182844818327, 0.000326468704465895, 36184000000, 
0.0013707839530688881, -0.0008988989416617669, 0.00029999155411163564, 36286000000, 
0.0013858751132757863, -0.0003425353658748076, 0.0002830196526255269, 36354000000, 
0.0012668656431630287, -0.0003463943663528646, 0.00026823498063384686, 36456000000, 
0.0011802786177765867, -0.0006853216516639985, 0.00025553462494769345, 36558000000, 
0.001176386060365714, -0.00030159860932438276, 0.00024156868808702196, 36660000000, 
0.0010979983480806088, -0.00027426756565325966, 0.00023031086841486062, 36762000000, 
0.0010033852795963694, -0.0005766692692311485, 0.00021851797920284614, 36864000000, 
0.0009293262745943276, -0.0005622402449542707, 0.00020204732681808704, 36932000000, 
0.0008690590775714546, -0.0004477540067497158, 0.00018678470878414344, 37034000000, 
0.000803971487872035, -0.0004178492890743087, 0.00017349045600252114, 37136000000, 
0.0006738331058397939, -0.0006507532391055356, 0.00015645757808555223, 37204000000, 
0.0006032525292183899, -0.0006690631955121503, 0.00013873714152868124, 37306000000, 
0.0005536704241755341, -0.00040054227221419936, 0.00012205040394891453, 37408000000, 
0.00042404738894200045, -0.0005973504675879648, 0.00010539802282239496, 37510000000, 
0.0003940189148645967, -0.0005321716977031247, 9.144911519880876e-05, 37612000000, 
0.00037577154931517365, -0.000160919465422756, 7.958919020811805e-05, 37680000000, 
0.00026014569258042686, -0.00044624407428056623, 6.866241045067982e-05, 37782000000, 
0.00024521120050094436, -0.00043520116271409764, 5.8741896159769655e-05, 37884000000, 
0.00023988445715789064, -6.753745140845406e-05, 4.968275668261745e-05, 37986000000, 
0.00015337144276303394, -0.00030613252579303474, 4.256447336145793e-05, 38088000000, 
0.0001469433795074082, -0.00030980359216827474, 3.601328529522219e-05, 38156000000, 
0.00014954993521704152, -1.2738358486641399e-05, 2.999098383249891e-05, 38258000000, 
9.676961505714066e-05, -0.00016724588150089184, 2.6217528652106025e-05, 38360000000, 
8.078606461911497e-05, -0.0002292129019930885, 2.1807040992886477e-05, 38462000000, 
7.756085661486667e-05, -6.402919480757996e-05, 1.700776908607482e-05, 38564000000, 
9.391827353316673e-05, 4.377402971350586e-05, 1.6817679651143225e-05, 38632000000, 
8.117172597529865e-05, 1.2036231201439929e-05, 1.6843390408222136e-05, 38734000000, 
7.698129944333498e-05, -5.645658029943915e-05, 1.6804753263453356e-05, 38836000000, 
0.00018436575660943366, 0.0003439801021137834, 2.283458546853782e-05, 38938000000, 
0.00017320245586222027, 0.000320737188062951, 2.8969967460999262e-05, 39040000000, 
0.00015584932508688754, -9.505477174182042e-05, 3.42278358372361e-05, 39108000000, 
0.0003592615382027875, 0.0006201969411352241, 4.5887554610126355e-05, 39210000000, 
0.00034338156189581137, 0.0006251074560297462, 5.723282834569909e-05, 39312000000, 
0.00031256068683380156, -0.00015566950456328646, 6.768025246216003e-05, 39414000000, 
0.000635768976874368, 0.0009746247165951886, 8.611408170693206e-05, 39516000000, 
0.0006060221322061465, 0.0009782048179078167, 0.0001036234530609544, 39618000000, 
0.0005429349748724277, -0.00030944667333980086, 0.00011898173893019614, 39686000000, 
0.0009987170592776484, 0.0013089830902383397, 0.0001431782777570815, 39788000000, 
0.0009512993959824023, 0.0013612147370332488, 0.0001661967620088319, 39890000000, 
0.0008544767051003876, -0.00048080118059086924, 0.0001869662106906959, 39992000000, 
0.0008039861562535722, -0.0004910441324294338, 0.0001739841504890908, 40094000000, 
0.0014092545086279995, 0.0018492593450920396, 0.00020451449133213062, 40162000000, 
0.0012652541460541344, 0.0015375599660018742, 0.0002318996540623804, 40264000000, 
0.001163723508245923, -0.0008184366679402552, 0.00025588214419520377, 40366000000, 
0.001980335633833513, 0.002383604959264596, 0.0002939542192089047, 40468000000, 
0.0018801770929746942, 0.0023881786157625706, 0.00033494908233694203, 40536000000, 
0.001710635168761826, -0.0008990015502389573, 0.0003714098597046689, 40638000000, 
0.0026762705270003684, 0.002653644780085581, 0.0004178055192491259, 40740000000, 
0.002538292547637072, 0.002758857929584154, 0.0004616798828932844, 40842000000, 
0.002272617320882825, -0.0013455106870584783, 0.000499145359701351, 40944000000, 
0.003415083806312974, 0.002922637528919673, 0.0005483995783221914, 41046000000, 
0.0032618433034007077, 0.003297419941726276, 0.0005966362953731004, 41148000000, 
0.002936591382277809, -0.0015949747467838837, 0.0006409012327994327, 41216000000, 
0.004262533030047755, 0.0033356324221568237, 0.0006973978477150848, 41318000000, 
